@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 {0,1,2,3,4,5,6}

@data
52,'2017/02/07 17:15:51:806',1,0.730419,0.262874,0.069461,0.322088,0.17613,0.025876,0.215575,0.20563,0.129212,0.238779,0.30983,0.464979,0.341114,258.398438,0.006379,0.016365,?,?,?
53,'2017/02/07 17:15:51:827',1,0.516575,0.394014,0.277691,0.229597,0.160661,0.088737,0.249279,0.38994,0.137028,0.239652,0.20707,0.388414,0.300523,19982.8125,0.006419,0.014952,?,?,?
54,'2017/02/07 17:15:51:847',1,0.587453,0.332959,0.16175,0.223807,0.154165,0.130663,0.282067,0.337536,0.26711,0.395756,0.320441,0.387139,0.251497,301.464844,0.005642,0.011814,?,?,?
55,'2017/02/07 17:15:51:868',1,0.667115,0.397111,0.349371,0.223835,0.044103,0.198618,0.342746,0.225263,0.183597,0.380723,0.465719,0.456079,0.157872,301.464844,0.005689,0.012979,?,?,?
56,'2017/02/07 17:15:51:889',1,0.788101,0.414637,0.113188,0.162229,0.069371,0.050796,0.107266,0.286499,0.228699,0.14782,0.28434,0.376998,0.487832,258.398438,0.006228,0.016622,?,?,?
57,'2017/02/07 17:15:51:910',1,0.653578,0.467818,0.243062,0.359196,0.297765,0.19223,0.276421,0.185811,0.134541,0.239428,0.185832,0.231703,0.253773,20025.878906,0.006155,0.015804,?,?,?
58,'2017/02/07 17:15:51:931',1,0.78095,0.470887,0.189645,0.232509,0.175656,0.141728,0.199992,0.261286,0.2796,0.128537,0.195618,0.393405,0.319096,215.332031,0.0054,0.011442,?,?,?
59,'2017/02/07 17:15:51:952',1,0.772085,0.630943,0.226987,-0.035707,0.051898,0.203442,0.21466,0.262425,0.182484,0.253355,0.173577,0.317476,0.240203,19939.746094,0.00778,0.01817,?,?,?
60,'2017/02/07 17:15:51:972',1,0.8885,0.359158,0.268312,0.133582,-0.015914,0.069974,0.083651,0.245381,0.281544,0.21564,0.149756,0.270044,0.415076,215.332031,0.006205,0.018022,?,?,?
61,'2017/02/07 17:15:51:993',1,0.678525,0.531966,0.614766,0.48511,0.090601,-0.06569,-0.0203,0.211102,0.26447,0.325071,0.28835,0.248532,0.208908,215.332031,0.005761,0.014181,?,?,?
